system:index,B1,B2,B3,B4,B5,B6,B7,aspect,class,class_name,dry_ndvi_mean,elevation,evi_EVI_max,evi_EVI_mean,evi_EVI_median,evi_EVI_min,evi_EVI_p10,evi_EVI_p25,evi_EVI_p75,evi_EVI_p90,evi_EVI_stdDev,latitude,longitude,mndwi_MNDWI_max,mndwi_MNDWI_mean,mndwi_MNDWI_median,mndwi_MNDWI_min,mndwi_MNDWI_p10,mndwi_MNDWI_p25,mndwi_MNDWI_p75,mndwi_MNDWI_p90,mndwi_MNDWI_stdDev,msavi_MSAVI_max,msavi_MSAVI_mean,msavi_MSAVI_median,msavi_MSAVI_min,msavi_MSAVI_p10,msavi_MSAVI_p25,msavi_MSAVI_p75,msavi_MSAVI_p90,msavi_MSAVI_stdDev,ndvi_NDVI_max,ndvi_NDVI_mean,ndvi_NDVI_median,ndvi_NDVI_min,ndvi_NDVI_p10,ndvi_NDVI_p25,ndvi_NDVI_p75,ndvi_NDVI_p90,ndvi_NDVI_stdDev,ndvi_amplitude,ndvi_iqr,ndvi_ratio,seasonal_difference,slope,wet_ndvi_mean,year_id,.geo
00000000000000000000_0,0.0345,0.04275,0.06105000000000001,0.07440000000000001,0.1247,0.1772,0.1368,262.95157,1,Natural Vegetation,0.23045091,4253,0.14160416410508628,0.0996280309013945,0.0956335715128944,0.08144960180194673,0.0820785470350823,0.08657270591801168,0.10839648606869509,0.13021791569565397,0.01649371548440505,-16.618248851276473,-69.57689929055987,-0.46414182,-0.48362303,-0.48104253,-0.507612,-0.5070053,-0.4928989,-0.47354728,-0.4667063,0.013016024563032946,0.1198683359173418,0.08566587763724562,0.08228280216684186,0.0697781489252699,0.07166225777820645,0.076184463343966,0.09268877188682101,0.11071683681103672,0.013481434144213938,0.33922434,0.24297194,0.22986028,0.19253112,0.20152454,0.20763958,0.27734375,0.32220536,0.043483461186086536,0.14669321,0.069704175,1.6749244868551356,0.10026394,27.819843,0.33071485,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.57689929055987,-16.618248851276473]}"
00000000000000000001_0,0.054400000000000004,0.0661,0.09280000000000001,0.1179,0.1976,0.2546,0.20235000000000003,14.647277,1,Natural Vegetation,0.2429226,3886,0.24445939248035117,0.15112238039686332,0.136864214635379,0.12377182932333439,0.12628192871788108,0.12882004348358086,0.1648841354723708,0.2056867433866388,0.03168034838013495,-16.956195061162237,-68.95005488530126,-0.43904263,-0.47183365,-0.46999103,-0.50220114,-0.49341762,-0.48421717,-0.46218655,-0.4532967,0.015084640284974062,0.21565587976206146,0.1337519161391553,0.12309001684799947,0.11104585927640065,0.11245169787103729,0.11454058300639758,0.14536127742894855,0.18166256929450486,0.026520146435553484,0.4383358,0.26995498,0.2413081,0.21207222,0.22298509,0.22921284,0.2927362,0.3854312,0.05698837776505682,0.22626358,0.06352337,1.9738434612448317,0.13440153,3.8288746,0.37732413,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.95005488530126,-16.956195061162237]}"
00000000000000000002_0,0.027700000000000002,0.036199999999999996,0.05550000000000001,0.07215,0.13119999999999998,0.1442,0.1062,266.7483,1,Natural Vegetation,0.2610211,4065,0.17241379310344826,0.11196313177656156,0.09999611531076966,0.0887828535669587,0.09256343443191348,0.09581064442484989,0.11643622202311554,0.16175608351279508,0.024744857997598686,-15.019876466242607,-70.31342799200945,-0.4169034,-0.44723836,-0.44650814,-0.48871332,-0.47042918,-0.45983288,-0.4348516,-0.4218727,0.0180123302937332,0.15114995160468908,0.09946295668953078,0.09119717088281437,0.07845546160888794,0.08255542223403156,0.08553250663686746,0.10346710314134511,0.14154797578895126,0.02089192706490537,0.46200776,0.27961373,0.24542603,0.20692195,0.20995054,0.22655436,0.3124294,0.41847172,0.07512412560059144,0.25508583,0.085875034,2.1298340764434127,0.18592626,15.928003,0.44694737,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.31342799200945,-15.019876466242607]}"
00000000000000000003_0,0.0412,0.0553,0.0845,0.1095,0.22870000000000001,0.2901,0.1892,131.53926,1,Natural Vegetation,0.3215933,4380,0.3358677330272926,0.20498108332765663,0.17410108280455855,0.15119966684819172,0.1552459016393443,0.16337016017999262,0.25748701513979444,0.3026665211539161,0.05647629160689313,-14.874888379385716,-69.5847146335317,-0.52609223,-0.5525001,-0.54892397,-0.5864478,-0.5841199,-0.5662326,-0.5365552,-0.5272232,0.017631088142113477,0.3046690213664314,0.18902083988601567,0.16223820608917683,0.14352197140165746,0.14613460104107134,0.1529857017019136,0.2344868397350487,0.278365040381466,0.04972033081417301,0.56374913,0.36047584,0.31601447,0.25891387,0.26469806,0.27251798,0.47112462,0.53992504,0.10154949921642088,0.30483526,0.19860664,2.096392889077494,0.21427706,15.030589,0.5358704,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.5847146335317,-14.874888379385716]}"
00000000000000000004_0,0.0497,0.060950000000000004,0.09135,0.10605,0.18645,0.2343,0.17720000000000002,71.13672,1,Natural Vegetation,0.28481814,3587,0.2001229161865253,0.15301130240746424,0.1455685191185746,0.12186354159177509,0.12687455663776642,0.13208543109811266,0.176322767440566,0.1821695716196436,0.023433854921661234,-16.932210043076243,-67.93621625564397,-0.4111049,-0.43598095,-0.43862125,-0.45619336,-0.45258898,-0.44212744,-0.43135536,-0.41758397,0.011647764781612106,0.1738813101203509,0.1339115223965878,0.12827199537955203,0.10822218771164793,0.10998940987541206,0.1158960942816229,0.15505045884938895,0.15773197041397247,0.01995146395485457,0.38851604,0.28845847,0.27754316,0.23108384,0.23955978,0.25012815,0.32598495,0.35037056,0.04567459411947127,0.1574322,0.075856805,1.611539116200816,0.103697896,26.596542,0.38851604,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.93621625564397,-16.932210043076243]}"
00000000000000000005_0,0.043500000000000004,0.0575,0.0893,0.1058,0.17070000000000002,0.22240000000000001,0.1686,239.22398,1,Natural Vegetation,0.20088917,4115,0.16150498183518577,0.11599564283980299,0.11932189402015059,0.060154683471784605,0.08050714260766305,0.09116479152878884,0.14315154191506588,0.1595904847937368,0.029257580051071343,-17.657958961116407,-66.94717112782837,-0.38785625,-0.4463516,-0.44955045,-0.4900366,-0.47734687,-0.4638247,-0.43408135,-0.40893254,0.023491243556091397,0.14653664879122008,0.10462297241694218,0.10549475295614896,0.05213384564559187,0.0726711629026574,0.08265796483125476,0.12711358315797283,0.14434319260509187,0.026526331225050943,0.33851072,0.2321655,0.20100503,0.15611243,0.16325925,0.1788181,0.2834769,0.31095123,0.05723651127080149,0.18239829,0.10465878,2.0378409783564284,0.08015329,17.55545,0.28104246,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-66.94717112782837,-17.657958961116407]}"
00000000000000000006_0,0.027950000000000003,0.038500000000000006,0.05935,0.0815,0.1457,0.17,0.12175,227.33688,1,Natural Vegetation,0.29368392,4446,0.20893632416787267,0.131236195050355,0.12437736531440231,0.10371387173034391,0.10657909897453623,0.11099770349578973,0.13603846604902076,0.18881146884510652,0.02775626671954089,-14.610783685854576,-70.31423647576517,-0.46888748,-0.4964343,-0.48899192,-0.5540927,-0.53169197,-0.51266956,-0.4787629,-0.47057182,0.022403157533493104,0.18705248354439163,0.11866058388697816,0.11389215286067234,0.09323315431105261,0.09560788442102874,0.1015647241658022,0.12319588267022852,0.16733768641411317,0.02413620799015893,0.47126436,0.29830346,0.2701582,0.23116884,0.23281865,0.24437086,0.34661356,0.4136672,0.06966465238346865,0.24009553,0.10224269,1.9540848206486177,0.08315131,25.535498,0.37683523,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.31423647576517,-14.610783685854576]}"
00000000000000000007_0,0.0376,0.0507,0.07865,0.10145,0.14855000000000002,0.19385000000000002,0.1393,290.23193,1,Natural Vegetation,0.15183096,3918,0.1439326837909655,0.08657447545037313,0.0774189119099086,0.06261652654166817,0.0636373198695698,0.06642367162065049,0.10116668840738305,0.12365911799761624,0.024556939851049935,-18.606849395731857,-66.92588105559474,-0.37392414,-0.41694447,-0.41868278,-0.44568452,-0.4358006,-0.42615297,-0.4081127,-0.400191,0.015326664669943257,0.13187667987043616,0.07818808623426089,0.06959966233825887,0.05580675565414528,0.05730691466055016,0.059701870752156605,0.09171404013756396,0.11341959722289208,0.02226165426509602,0.3293919,0.19046272,0.16143909,0.12552892,0.139823,0.14751178,0.22077873,0.28987288,0.05763468635338289,0.20386298,0.07326695,2.430417837792805,0.1153775,18.14228,0.26720846,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-66.92588105559474,-18.606849395731857]}"
00000000000000000008_0,0.0417,0.050800000000000005,0.0765,0.10160000000000001,0.20170000000000002,0.2539,0.189,75.48155,1,Natural Vegetation,0.31903088,4019,0.28272044286279163,0.18317145246844824,0.1648715535571125,0.1421206159690659,0.14361414877818282,0.14683153013910358,0.21093972135342623,0.2581578580393251,0.042978309484891716,-15.876060763536923,-68.8977729357655,-0.49930748,-0.53014016,-0.53264606,-0.562392,-0.55184877,-0.5424554,-0.5199734,-0.50391936,0.015789718722532414,0.2554505660283991,0.16894022679710655,0.1530736020397978,0.13052232654532914,0.13449137937605238,0.13651256228498854,0.1941833633162796,0.2342297757051558,0.038234436694778474,0.48910493,0.33852714,0.31834954,0.2540913,0.26220274,0.2702445,0.4065342,0.45684773,0.07306411845280572,0.23501363,0.13628969,1.8520297346208547,0.13647369,24.323301,0.45550457,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.8977729357655,-15.876060763536923]}"
00000000000000000009_0,0.07405,0.0872,0.11615,0.1497,0.21955000000000002,0.36160000000000003,0.31585,61.08223,1,Natural Vegetation,0.19237508,4312,0.154291923216226,0.12663506740049243,0.11988702801748745,0.10707726616817527,0.11013558325127615,0.11505880916326627,0.13968135101110757,0.15006358505398115,0.014805081173056197,-14.814252097707648,-69.6674494711991,-0.49909163,-0.515048,-0.5151141,-0.52878916,-0.52566594,-0.5216161,-0.5098942,-0.5045951,0.00800084439362473,0.13230937183093738,0.11052387622544546,0.10501341143728998,0.09622962797606416,0.09711040758161404,0.10132299800042066,0.12170196339503536,0.12981768066264754,0.011909443336410577,0.25432837,0.20333384,0.19301683,0.1682556,0.17308117,0.17913923,0.23369673,0.25149876,0.028777004100087936,0.08607277,0.054557502,1.426762322591635,0.060066864,21.886312,0.25244194,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6674494711991,-14.814252097707648]}"
