system:index,B1,B2,B3,B4,B5,B6,B7,ampNdvi,baseMsavi,baseNdvi,class,latitude,longitude,maxMndwi,maxMsavi,maxNdvi,poly_id,slope,year_id,.geo
0000000000000000070f_0,0.05285000000000001,0.06945000000000001,0.1026,0.1361,0.2222,0.30885,0.2333,0.652577,-4.899247675216323E-6,-0.016213354,1,-15.325483325900068,-69.24003105901504,0.6217809,3.7799359654644427E-5,0.6363636,0000000000000000070f,2.1343393,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.24003105901504,-15.325483325900068]}"
0000000000000000081b_0,0.034825,0.0415,0.06495000000000001,0.0782,0.13193333333333335,0.1457,0.12050000000000001,0.51590127,-2.319648063853208E-6,-0.0077045695,1,-16.80770354469728,-69.85906012130181,0.5061854,1.7239704506344378E-5,0.5081967,0000000000000000081b,11.352253,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.85906012130181,-16.80770354469728]}"
0000000000000000068d_0,0.0776,0.09730000000000001,0.129,0.159,0.274,0.2969,0.2321,0.51095116,-3.29933155762685E-6,-0.008210998,1,-15.65453621447305,-69.9364050672645,0.6238113,4.5198412560010226E-5,0.50274014,0000000000000000068d,1.3369305,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9364050672645,-15.65453621447305]}"
0000000000000000069e_0,0.0644,0.0736,0.1013,0.12765,0.1829,0.21534999999999999,0.18930000000000002,0.4493179,3.979602834047746E-6,0.012220566,1,-17.416222318159843,-68.71532510156084,0.14917047,1.849927370511928E-5,0.46153846,0000000000000000069e,12.0591345,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.71532510156084,-17.416222318159843]}"
0000000000000000075b_0,0.05235000000000001,0.06645000000000001,0.09640000000000001,0.1259,0.23425,0.32025000000000003,0.24420000000000003,0.5397619,-2.639358795852864E-6,-0.005463124,1,-15.202324300447282,-69.22224441638947,0.4068582,3.4817887873295206E-5,0.5342988,0000000000000000075b,3.4244432,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.22224441638947,-15.202324300447282]}"
000000000000000005ff_0,0.0542,0.07385,0.1143,0.15700000000000003,0.23955,0.34450000000000003,0.2524,0.575888,7.959047931049845E-6,0.032200646,1,-17.36771329281739,-68.31404766414464,0.17939004,4.097920988849202E-5,0.6080886,000000000000000005ff,5.547545,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.31404766414464,-17.36771329281739]}"
000000000000000008da_0,0.058100000000000006,0.0801,0.1216,0.1605,0.29660000000000003,0.26730000000000004,0.1978,0.75430346,-2.3994937560223306E-6,-0.0057202782,1,-14.318382060873672,-70.21883539259167,0.5936104,6.541916257990499E-5,0.7485832,000000000000000008da,3.9921124,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.21883539259167,-14.318382060873672]}"
000000000000000008c9_0,0.05176111111111111,0.0649,0.08861666666666668,0.11265714285714289,0.183475,0.2925,0.2288,0.5127767,-3.1394212181012904E-6,-0.008589092,1,-14.855215274663498,-69.89921481450195,0.38941297,3.2559109804986E-5,0.5041876,000000000000000008c9,9.9368925,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.89921481450195,-14.855215274663498]}"
000000000000000005f7_0,0.0439,0.056900000000000006,0.0903,0.12710000000000002,0.21780000000000002,0.2482,0.1955,0.7022481,-3.1593695182241532E-6,-0.007980604,1,-16.48943043953373,-69.22952077019085,0.26983514,3.331947153556447E-5,0.6942675,000000000000000005f7,12.213248,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.22952077019085,-16.48943043953373]}"
000000000000000008f4_0,0.0553,0.0834,0.132,0.17200000000000001,0.3311,0.3169,0.2285,0.72880197,2.7195754187525623E-6,0.008636017,1,-16.649240728578594,-68.52667889189573,0.55710304,7.42590182228331E-5,0.73743796,000000000000000008f4,2.9434772,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.52667889189573,-16.649240728578594]}"
000000000000000008e6_0,0.0536,0.0618,0.0893,0.116,0.2078,0.2462,0.1826,0.5950567,-6.039038711547207E-6,-0.019339139,1,-17.3475011989247,-69.00045037274036,0.47030804,3.489955117613741E-5,0.57571757,000000000000000008e6,11.155164,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.00045037274036,-17.3475011989247]}"
00000000000000000898_0,0.04836666666666667,0.06405,0.10076666666666667,0.12430000000000001,0.2283666666666667,0.3370666666666667,0.2422,0.62023956,-4.199330713494653E-6,-0.013351983,1,-15.733228633361918,-68.96433809831876,0.83139074,3.7359547932547255E-5,0.6068876,00000000000000000898,11.2168665,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.96433809831876,-15.733228633361918]}"
0000000000000000073a_0,0.06765,0.0912,0.13030000000000003,0.16675,0.23460000000000003,0.31255,0.25625000000000003,0.44288248,6.839426852089936E-6,0.03921119,1,-17.33267899673673,-68.78916661791546,0.41040868,2.6818822085772354E-5,0.48209366,0000000000000000073a,1.3429844,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.78916661791546,-17.33267899673673]}"
0000000000000000075c_0,0.049560000000000014,0.07028333333333334,0.11525833333333331,0.1577875,0.26345714285714283,0.303875,0.23737500000000003,0.57894,-8.218517555946825E-6,-0.023316503,1,-17.254256072433094,-67.62279405301467,0.5911158,4.933810631008173E-5,0.5556235,0000000000000000075c,4.7273035,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.62279405301467,-17.254256072433094]}"
00000000000000000845_0,0.05807500000000001,0.06659,0.09786000000000002,0.12856,0.22415000000000002,0.29275,0.2198,0.479674,-8.817955486906115E-6,-0.019388877,1,-15.386119607578136,-69.9981193272835,0.4191864,3.179909051709284E-5,0.46028513,00000000000000000845,7.068855,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9981193272835,-15.386119607578136]}"
000000000000000008ae_0,0.04215000000000001,0.0631,0.11780000000000002,0.1502,0.28955000000000003,0.30705000000000005,0.22285,0.70095676,-9.39875692163028E-7,-0.0035662798,1,-16.25389217203759,-68.4671205885586,0.54152286,5.82592635600121E-5,0.6973905,000000000000000008ae,2.1422877,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.4671205885586,-16.25389217203759]}"
00000000000000000954_0,0.058800000000000005,0.0714,0.1003,0.127,0.168,0.20370000000000002,0.169,0.5528446,-1.8396955727806308E-5,-0.0588687,1,-17.162358418867665,-69.80812564469223,0.8209085,2.1598434943648215E-5,0.4939759,00000000000000000954,12.55024,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80812564469223,-17.162358418867665]}"
00000000000000000747_0,0.0596,0.077,0.109,0.1394,0.20770000000000002,0.316,0.2416,0.4011445,-3.379445975504325E-6,-0.010416024,1,-15.899506792452442,-70.10160524801408,0.27608752,2.5118699321091675E-5,0.39072847,00000000000000000747,11.890563,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.10160524801408,-15.899506792452442]}"
000000000000000008fc_0,0.051800000000000006,0.067,0.0964,0.1228,0.1958,0.24430000000000002,0.1915,0.5768409,-3.859379337001201E-6,-0.012146768,1,-16.7282026420527,-68.51643809765677,0.56852865,2.1718108746071607E-5,0.5646941,000000000000000008fc,13.8488455,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.51643809765677,-16.7282026420527]}"
00000000000000000937_0,0.0509,0.07545,0.10985,0.1408,0.30355,0.3014,0.20195000000000002,0.81690764,-7.379156716225133E-6,-0.03336649,1,-16.48188459114713,-69.39499044552566,0.92536813,6.283945451929229E-5,0.78354114,00000000000000000937,6.072441,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.39499044552566,-16.48188459114713]}"
00000000000000000913_0,0.0414,0.055,0.0874,0.10840000000000001,0.2505,0.2356,0.1801,0.62150306,1.899700910468205E-6,0.0059978534,1,-14.417825562825703,-70.1573906271579,0.59925616,5.431894506879864E-5,0.6275009,00000000000000000913,15.959436,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.1573906271579,-14.417825562825703]}"
00000000000000000612_0,0.0720888888888889,0.09157499999999999,0.14324444444444445,0.19394999999999998,0.33010000000000006,0.354425,0.25980000000000003,0.7678912,7.998564416356047E-7,0.0022237047,1,-15.63621058267701,-70.3603200498405,0.64580727,6.775804437031407E-5,0.77011496,00000000000000000612,3.0317807,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.3603200498405,-15.63621058267701]}"
000000000000000008c1_0,0.10337142857142857,0.11891,0.1809333333333333,0.2562375,0.34906666666666664,0.36423333333333335,0.31084999999999996,0.32991478,3.7196607656220237E-6,0.019987104,1,-17.548544159510648,-67.7184646307734,0.32576248,3.2558569329932396E-5,0.34990188,000000000000000008c1,2.1542804,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.7184646307734,-17.548544159510648]}"
000000000000000007da_0,0.0585,0.0755,0.12100000000000001,0.1497,0.27540000000000003,0.30670000000000003,0.2061,0.6736377,-6.998712237527016E-7,-0.0020605682,1,-14.346948486908673,-70.1476888220894,0.5487193,6.199906003601097E-5,0.6715771,000000000000000007da,7.668616,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.1476888220894,-14.346948486908673]}"
00000000000000000773_0,0.0621675,0.08234999999999999,0.13671666666666668,0.18248333333333333,0.301025,0.33095,0.2616833333333334,0.9437405,-7.858780484037986E-6,-0.025983471,1,-15.930498669754567,-68.87432690684999,0.6742706,5.40988346480753E-5,0.91775703,00000000000000000773,3.38184,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.87432690684999,-15.930498669754567]}"
0000000000000000092a_0,0.0699,0.08660000000000001,0.12290000000000001,0.1568,0.25220000000000004,0.3239,0.2529,0.57488924,-6.978634569887454E-6,-0.018161003,1,-17.0092854944537,-69.2712924309024,0.6865171,4.437914965776946E-5,0.55672824,0000000000000000092a,1.9390935,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.2712924309024,-17.0092854944537]}"
000000000000000008e9_0,0.05852399999999999,0.07634375,0.11562999999999998,0.159,0.23996666666666672,0.34645000000000004,0.276575,0.53120697,-7.898543993856144E-6,-0.021897001,1,-17.254795061603563,-67.63519080393552,0.5625577,2.9658514064334618E-5,0.50930995,000000000000000008e9,17.057278,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.63519080393552,-17.254795061603563]}"
00000000000000000664_0,0.02765,0.0437,0.07415000000000001,0.0881,0.28370000000000006,0.2278,0.14765,0.78539664,-6.078984937318843E-6,-0.01854337,1,-16.127499211561975,-68.69888593186144,0.61552465,6.673925380534795E-5,0.7668533,00000000000000000664,10.588253,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.69888593186144,-16.127499211561975]}"
000000000000000008ce_0,0.06280000000000001,0.0821,0.1178,0.1568,0.2411,0.3219,0.2356,0.56126755,-9.718457501417532E-6,-0.031587157,1,-15.97253982505136,-70.05713864145015,0.69603527,4.70589467712057E-5,0.5296804,000000000000000008ce,14.982298,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.05713864145015,-15.97253982505136]}"
0000000000000000064a_0,0.05946666666666667,0.0738,0.11247500000000002,0.1451,0.22199999999999998,0.2786,0.20825,0.55711854,-4.639263473937838E-6,-0.014829967,1,-15.855040185888527,-68.97323141963155,0.6653788,2.1099085968256936E-5,0.54228854,0000000000000000064a,6.0604296,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.97323141963155,-15.855040185888527]}"
0000000000000000082c_0,0.047200000000000006,0.06105,0.1026,0.12485,0.42410000000000003,0.30605000000000004,0.18505,0.9012322,-4.079308478455168E-6,-0.012180559,1,-15.08536365045492,-69.97036138500421,0.31051344,9.711941139922686E-5,0.8890516,0000000000000000082c,1.3350408,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.97036138500421,-15.08536365045492]}"
00000000000000000891_0,0.05450000000000001,0.0684,0.09975,0.13185,0.19325000000000003,0.24015000000000003,0.20105,0.41648975,-3.3994366472889226E-6,-0.010364589,1,-16.757847046428644,-69.4305637307768,0.6520204,2.8518325356219343E-5,0.40612516,00000000000000000891,7.9178634,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.4305637307768,-16.757847046428644]}"
00000000000000000970_0,0.0805,0.10540000000000001,0.14830000000000002,0.1908,0.2988,0.3325,0.25630000000000003,0.6216448,-3.0394650557541425E-6,-0.0087116,1,-15.641330979796491,-70.06468448983676,0.23457319,5.2699123040400586E-5,0.6129332,00000000000000000970,2.88703,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.06468448983676,-15.641330979796491]}"
000000000000000007b0_0,0.0422,0.0679,0.12200000000000001,0.16060000000000002,0.28750000000000003,0.3124,0.23500000000000001,0.67742395,-7.67838294501999E-6,-0.018572258,1,-16.746258779263503,-68.26823358465454,0.5887725,6.423854169140819E-5,0.6588517,000000000000000007b0,5.1718574,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.26823358465454,-16.746258779263503]}"
00000000000000000837_0,0.06823333333333334,0.09197777777777778,0.13126666666666667,0.165725,0.31542,0.30963333333333337,0.21400000000000002,0.8587227,-5.059148246111533E-6,-0.015256588,1,-17.40732899684706,-69.0427610226224,0.3774693,6.937893426561814E-5,0.8434661,00000000000000000837,1.34327,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.0427610226224,-17.40732899684706]}"
000000000000000007d9_0,0.041973333333333335,0.0684125,0.103,0.13355999999999998,0.28107499999999996,0.32985,0.23873333333333335,0.5326154,8.998829251760654E-7,0.0034469552,1,-14.489780617083676,-69.86471950759176,0.49948624,4.535902564389849E-5,0.53606236,000000000000000007d9,14.975955,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.86471950759176,-14.489780617083676]}"
00000000000000000692_0,0.047200000000000006,0.06440000000000001,0.09705,0.12595,0.22525,0.2917,0.21530000000000002,0.5121672,-6.218985814099298E-6,-0.02387433,1,-15.240592531550773,-69.25593123954395,0.49586037,2.7719429518291427E-5,0.4882929,00000000000000000692,13.927303,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.25593123954395,-15.240592531550773]}"
000000000000000006fd_0,0.049049999999999996,0.061950000000000005,0.09280000000000001,0.127,0.24825,0.31915000000000004,0.22665000000000002,0.5702089,-2.619509890999794E-6,-0.0070509715,1,-15.197742892498272,-69.57150939885514,0.5282356,3.681877462602401E-5,0.5631579,000000000000000006fd,2.0882561,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.57150939885514,-15.197742892498272]}"
0000000000000000085f_0,0.056900000000000006,0.0659,0.0959,0.1228,0.24930000000000002,0.2525,0.1883,0.61686206,-5.799080033952464E-7,-0.0018313861,1,-15.714903001565881,-69.78656607787336,0.3475249,3.5678610625367035E-5,0.61503065,0000000000000000085f,9.421142,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.78656607787336,-15.714903001565881]}"
0000000000000000080b_0,0.0669,0.0944,0.1332,0.1696,0.2411,0.2079,0.1686,0.45216325,-1.7597006755076805E-6,-0.07234043,1,-16.19568134162665,-69.70733466981402,0.34296405,2.657942321121487E-5,0.37982282,0000000000000000080b,7.5115747,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.70733466981402,-16.19568134162665]}"
