system:index,B1,B2,B3,B4,B5,B6,B7,ampNdvi,baseMsavi,baseNdvi,class,latitude,longitude,maxMndwi,maxMsavi,maxNdvi,poly_id,slope,year_id,.geo
00000000000000000017_814,0.0588,0.0702,0.0979,0.1378,0.2047,0.2554,0.2048,0.31767845,-3.859315128584839e-06,-0.011836522,rocky,-17.613761849137724,-70.2279982084897,0.41526547,1.7799640440907538e-05,0.30584192,00000000000000000017,37.98648,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2279982084897,-17.613761849137724]}"
0000000000000000007a_41,0.0114,0.0157,0.0371,0.02695,0.03405,0.03415,0.03185,1.1726345,-8.438564780943736e-06,-0.9230769,water,-16.261707515009434,-69.07321391075405,0.69942194,1.1059743189933968e-05,0.24955752,0000000000000000007a,0.0,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.07321391075405,-16.261707515009434]}"
00000000000000000056_728,0.0034710526315789,0.0106892857142857,0.0291111111111111,0.009095,0.0011897435897435,0.0013673913043478,0.0026666666666666,1.2011495,-7.578683137943187e-06,-1.0,water,-16.564080439644066,-68.87432690684999,0.968,1.0659694063552829e-05,0.20114942,00000000000000000056,0.0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.87432690684999,-16.564080439644066]}"
00000000000000000019_63,0.0529,0.0677,0.1004,0.1316,0.2117,0.2246,0.1683,0.5016885,2.0796968212000166e-06,0.0070835035,rocky,-17.5256371197656,-70.18568755860767,0.18688631,2.9179558792225e-05,0.50877196,00000000000000000019,27.48039,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.18568755860767,-17.5256371197656]}"
00000000000000000029_123,0.0465,0.05885,0.0866,0.11025,0.173,0.21345,0.1562,0.41966897,-4.539179229379187e-06,-0.012713525,rocky,-16.88693495275662,-69.38582762962764,0.5645161,2.2919549849731435e-05,0.40695545,00000000000000000029,13.185665,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.38582762962764,-16.88693495275662]}"
00000000000000000034_258,0.03235,0.04365,0.0744,0.0909,0.1417,0.1977,0.1605,0.3876843,-1.6397251825228665e-06,-0.0049166568,rocky,-16.84085137868129,-68.3633651732428,0.5251032,1.9999353208066672e-05,0.38276762,00000000000000000034,14.441379,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.3633651732428,-16.84085137868129]}"
00000000000000000050_99,0.067,0.0866,0.1322,0.1817,0.2644,0.373,0.2916,0.6782513,-6.298994560838267e-06,-0.020131655,rocky,-17.11870029605946,-68.36525163533945,0.3632639,3.267894704989116e-05,0.6581197,00000000000000000050,15.89978,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.36525163533945,-17.11870029605946]}"
00000000000000000015_1146,0.0469,0.0613,0.0965,0.11725,0.18985,0.20605,0.1586,0.38824,-5.098898235633698e-06,-0.011942116,rocky,-17.62130769752433,-70.09513737796841,0.2820361,2.1319620076232223e-05,0.3762979,00000000000000000015,18.03176,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.09513737796841,-17.62130769752433]}"
00000000000000000040_62,0.0492,0.0649,0.1054,0.1384,0.2042,0.2928,0.2255,0.31338957,-6.238988915718835e-06,-0.019630048,rocky,-16.468140367300098,-68.72691336872597,0.28299204,2.773874728345671e-05,0.29375952,00000000000000000040,8.829392,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.72691336872597,-16.468140367300098]}"
00000000000000000017_525,0.0615,0.0758,0.1095,0.1483,0.2115,0.2546,0.2076,0.55141807,-3.5393716929510437e-06,-0.010071124,rocky,-17.615109322063905,-70.22826770307493,0.33122474,2.097955270652374e-05,0.54134697,00000000000000000017,27.415707,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22826770307493,-17.615109322063905]}"
